id,source_id,pattern,context,question,right_answer,hallucinated_answer,is_hallucinated
bengali-5447758927889596593-4::factualness,bengali-5447758927889596593-4,factualness,"আয়তন ৪৪৪.০৫ বর্গ কিলোমিটার। এটি ১টি থানা, ১টি পৌরসভা, ৯টি ওয়ার্ড, ১৩টি মহল্লা, ১১টি ইউনিয়ন, ৮৭টি মৌজা, ১১০টি গ্রাম নিয়ে গঠিত।",ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,১১০,ভালুকা উপজেলা মোট ১০১টি গ্রাম নিয়ে গঠিত।,yes
bengali-5447758927889596593-4::comprehension,bengali-5447758927889596593-4,comprehension,"আয়তন ৪৪৪.০৫ বর্গ কিলোমিটার। এটি ১টি থানা, ১টি পৌরসভা, ৯টি ওয়ার্ড, ১৩টি মহল্লা, ১১টি ইউনিয়ন, ৮৭টি মৌজা, ১১০টি গ্রাম নিয়ে গঠিত।",ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,১১০,ভালুকা উপজেলায় মোট ৮৭টি গ্রাম রয়েছে।,yes
bengali-5447758927889596593-4::specificity,bengali-5447758927889596593-4,specificity,"আয়তন ৪৪৪.০৫ বর্গ কিলোমিটার। এটি ১টি থানা, ১টি পৌরসভা, ৯টি ওয়ার্ড, ১৩টি মহল্লা, ১১টি ইউনিয়ন, ৮৭টি মৌজা, ১১০টি গ্রাম নিয়ে গঠিত।",ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,১১০,ভালুকা উপজেলা মোট প্রায় ১০০টি গ্রাম নিয়ে গঠিত।,yes
bengali-5447758927889596593-4::inference,bengali-5447758927889596593-4,inference,"আয়তন ৪৪৪.০৫ বর্গ কিলোমিটার। এটি ১টি থানা, ১টি পৌরসভা, ৯টি ওয়ার্ড, ১৩টি মহল্লা, ১১টি ইউনিয়ন, ৮৭টি মৌজা, ১১০টি গ্রাম নিয়ে গঠিত।",ভালুকা উপজেলা মোট কয়টি গ্রাম নিয়ে গঠিত ?,১১০,ভালুকা উপজেলা মোট ৮৭টি গ্রাম নিয়ে গঠিত।,yes
bengali-9078535216838685259-0::factualness,bengali-9078535216838685259-0,factualness,ঢাকা বিশ্ববিদ্যালয় বাংলাদেশের সবচেয়ে পুরানো বিশ্ববিদ্যালয়। এই বিশ্ববিদ্যালয় ১৯২১ সালে প্রতিষ্ঠিত হয়। বাংলাদেশের মোট উচ্চ শিক্ষিত জনগোষ্ঠির প্রায় ৭০%-ই এই বিশ্ববিদ্যালয়ের ছাত্র-ছাত্রী। প্রতিষ্ঠার পর থেকে এ যাবৎ ২৬ জন বিশিষ্ট শিক্ষাবিদ ঢাকা বিশ্ববিদ্যালয়ের উপাচার্যের দায়িত্ব পালন করেছেন। এই বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য মো. আখতারুজ্জামান।,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,মো. আখতারুজ্জামান,ড. মো. আখতারুজ্জামাল,yes
bengali-9078535216838685259-0::comprehension,bengali-9078535216838685259-0,comprehension,ঢাকা বিশ্ববিদ্যালয় বাংলাদেশের সবচেয়ে পুরানো বিশ্ববিদ্যালয়। এই বিশ্ববিদ্যালয় ১৯২১ সালে প্রতিষ্ঠিত হয়। বাংলাদেশের মোট উচ্চ শিক্ষিত জনগোষ্ঠির প্রায় ৭০%-ই এই বিশ্ববিদ্যালয়ের ছাত্র-ছাত্রী। প্রতিষ্ঠার পর থেকে এ যাবৎ ২৬ জন বিশিষ্ট শিক্ষাবিদ ঢাকা বিশ্ববিদ্যালয়ের উপাচার্যের দায়িত্ব পালন করেছেন। এই বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য মো. আখতারুজ্জামান।,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,মো. আখতারুজ্জামান,অধ্যাপক আ আ ম স আরেফিন সিদ্দিক,yes
bengali-9078535216838685259-0::specificity,bengali-9078535216838685259-0,specificity,ঢাকা বিশ্ববিদ্যালয় বাংলাদেশের সবচেয়ে পুরানো বিশ্ববিদ্যালয়। এই বিশ্ববিদ্যালয় ১৯২১ সালে প্রতিষ্ঠিত হয়। বাংলাদেশের মোট উচ্চ শিক্ষিত জনগোষ্ঠির প্রায় ৭০%-ই এই বিশ্ববিদ্যালয়ের ছাত্র-ছাত্রী। প্রতিষ্ঠার পর থেকে এ যাবৎ ২৬ জন বিশিষ্ট শিক্ষাবিদ ঢাকা বিশ্ববিদ্যালয়ের উপাচার্যের দায়িত্ব পালন করেছেন। এই বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য মো. আখতারুজ্জামান।,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,মো. আখতারুজ্জামান,বর্তমান (২০১৯) উপাচার্যের পদে একজন বিশিষ্ট শিক্ষাবিদ দায়িত্ব পালন করছেন।,yes
bengali-9078535216838685259-0::inference,bengali-9078535216838685259-0,inference,ঢাকা বিশ্ববিদ্যালয় বাংলাদেশের সবচেয়ে পুরানো বিশ্ববিদ্যালয়। এই বিশ্ববিদ্যালয় ১৯২১ সালে প্রতিষ্ঠিত হয়। বাংলাদেশের মোট উচ্চ শিক্ষিত জনগোষ্ঠির প্রায় ৭০%-ই এই বিশ্ববিদ্যালয়ের ছাত্র-ছাত্রী। প্রতিষ্ঠার পর থেকে এ যাবৎ ২৬ জন বিশিষ্ট শিক্ষাবিদ ঢাকা বিশ্ববিদ্যালয়ের উপাচার্যের দায়িত্ব পালন করেছেন। এই বিশ্ববিদ্যালয়ের বর্তমান উপাচার্য মো. আখতারুজ্জামান।,ঢাকা বিশ্ববিদ্যালয়ের বর্তমান (২০১৯) উপাচার্যের নাম কী ?,মো. আখতারুজ্জামান,বর্তমান (২০১৯) উপাচার্যের নাম অধ্যাপক আবদুল মান্নান।,yes
bengali-5846157904123319216-6::factualness,bengali-5846157904123319216-6,factualness,"আঠারো শতাব্দীতে ইন্সতিতুসিওন লিব্রে দে এন্সেনিয়াঞ্জার শিক্ষাবিদ এবং শিক্ষার্থী, কেমব্রিজ বিশ্ববিদ্যালয় এবং অক্সফোর্ড বিশ্ববিদ্যালয়ের স্নাতকদের দ্বারা মাদ্রিদে ফুটবল খেলা প্রচারের মাধ্যমে রিয়াল মাদ্রিদ প্রতিষ্ঠার ভিত্তি গড়ে উঠে। ১৮৯৭ সালে, তারা (সোসিয়েদাদ) স্কাই ফুটবল নামে একটি সংঘ প্রতিষ্ঠিত করেন, যেটি লা সোসিয়েদাদ (সমাজ) নামেই অধিক পরিচিত। এটি সেসময়ের মাদ্রিদভিত্তিক খেলাধুলার একমাত্র সংঘ ছিল, যেটি প্রতি রবিবার সকালে মনক্লোয়া</i>য় খেলত। ১৯০০ সালে, এই সংঘের কয়েকজনের মধ্যে দ্বন্দ্বের সৃষ্টি হওয়ার ফলে তারা স্কাই ফুটবল হতে বিভক্ত হয়ে গিয়ে নুয়েভা সোসিয়েদাদ দে ফুটবল (ফুটবলের নতুন সমাজ) নামে নতুন একটি ক্লাব গঠন করে। বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে একজন ছিলেন হুলিয়ান পালাকিওস, যিনি রিয়াল মাদ্রিদের প্রথম সভাপতির দায়িত্ব পালন করেছেন। এছাড়াও বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে ছিলেন দুই ভাই হুয়ান পাদ্রোস এবং কার্লোস পাদ্রোস, যারা পরবর্তীতে রিয়াল মাদ্রিদের সভাপতিত্বের দায়িত্ব পালন করেছেন। ১৯০১ সালে, এই নতুন ক্লাবের নাম পরিবর্তন করে মাদ্রিদ ফুটবল ক্লাব রাখা হয়। পরবর্তীতে, ১৯০২ সালে পুনর্গঠনের পর স্কাই ফুটবল সংঘটি নাম পরিবর্তন করে নিউ ফুট-বল ক্লাব রাখে।[24][25][26] ১৯০৬ সালের ৬ই মার্চ তারিখে, হুয়ান পাদ্রোসের সভাপতিত্বে একটি নতুন বোর্ড নির্বাচিত হওয়ার পর, মাদ্রিদ ফুটবল ক্লাব আনুষ্ঠানিকভাবে প্রতিষ্ঠা লাভ করে।[3]",রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি কে ছিলেন ?,হুলিয়ান পালাকিওস,কার্লোস পাদ্রোস ছিলেন রিয়াল মাদ্রিদের সর্বপ্রথম সভাপতি।,yes
bengali-5846157904123319216-6::comprehension,bengali-5846157904123319216-6,comprehension,"আঠারো শতাব্দীতে ইন্সতিতুসিওন লিব্রে দে এন্সেনিয়াঞ্জার শিক্ষাবিদ এবং শিক্ষার্থী, কেমব্রিজ বিশ্ববিদ্যালয় এবং অক্সফোর্ড বিশ্ববিদ্যালয়ের স্নাতকদের দ্বারা মাদ্রিদে ফুটবল খেলা প্রচারের মাধ্যমে রিয়াল মাদ্রিদ প্রতিষ্ঠার ভিত্তি গড়ে উঠে। ১৮৯৭ সালে, তারা (সোসিয়েদাদ) স্কাই ফুটবল নামে একটি সংঘ প্রতিষ্ঠিত করেন, যেটি লা সোসিয়েদাদ (সমাজ) নামেই অধিক পরিচিত। এটি সেসময়ের মাদ্রিদভিত্তিক খেলাধুলার একমাত্র সংঘ ছিল, যেটি প্রতি রবিবার সকালে মনক্লোয়া</i>য় খেলত। ১৯০০ সালে, এই সংঘের কয়েকজনের মধ্যে দ্বন্দ্বের সৃষ্টি হওয়ার ফলে তারা স্কাই ফুটবল হতে বিভক্ত হয়ে গিয়ে নুয়েভা সোসিয়েদাদ দে ফুটবল (ফুটবলের নতুন সমাজ) নামে নতুন একটি ক্লাব গঠন করে। বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে একজন ছিলেন হুলিয়ান পালাকিওস, যিনি রিয়াল মাদ্রিদের প্রথম সভাপতির দায়িত্ব পালন করেছেন। এছাড়াও বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে ছিলেন দুই ভাই হুয়ান পাদ্রোস এবং কার্লোস পাদ্রোস, যারা পরবর্তীতে রিয়াল মাদ্রিদের সভাপতিত্বের দায়িত্ব পালন করেছেন। ১৯০১ সালে, এই নতুন ক্লাবের নাম পরিবর্তন করে মাদ্রিদ ফুটবল ক্লাব রাখা হয়। পরবর্তীতে, ১৯০২ সালে পুনর্গঠনের পর স্কাই ফুটবল সংঘটি নাম পরিবর্তন করে নিউ ফুট-বল ক্লাব রাখে।[24][25][26] ১৯০৬ সালের ৬ই মার্চ তারিখে, হুয়ান পাদ্রোসের সভাপতিত্বে একটি নতুন বোর্ড নির্বাচিত হওয়ার পর, মাদ্রিদ ফুটবল ক্লাব আনুষ্ঠানিকভাবে প্রতিষ্ঠা লাভ করে।[3]",রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি কে ছিলেন ?,হুলিয়ান পালাকিওস,হুয়ান পাদ্রোস,yes
bengali-5846157904123319216-6::specificity,bengali-5846157904123319216-6,specificity,"আঠারো শতাব্দীতে ইন্সতিতুসিওন লিব্রে দে এন্সেনিয়াঞ্জার শিক্ষাবিদ এবং শিক্ষার্থী, কেমব্রিজ বিশ্ববিদ্যালয় এবং অক্সফোর্ড বিশ্ববিদ্যালয়ের স্নাতকদের দ্বারা মাদ্রিদে ফুটবল খেলা প্রচারের মাধ্যমে রিয়াল মাদ্রিদ প্রতিষ্ঠার ভিত্তি গড়ে উঠে। ১৮৯৭ সালে, তারা (সোসিয়েদাদ) স্কাই ফুটবল নামে একটি সংঘ প্রতিষ্ঠিত করেন, যেটি লা সোসিয়েদাদ (সমাজ) নামেই অধিক পরিচিত। এটি সেসময়ের মাদ্রিদভিত্তিক খেলাধুলার একমাত্র সংঘ ছিল, যেটি প্রতি রবিবার সকালে মনক্লোয়া</i>য় খেলত। ১৯০০ সালে, এই সংঘের কয়েকজনের মধ্যে দ্বন্দ্বের সৃষ্টি হওয়ার ফলে তারা স্কাই ফুটবল হতে বিভক্ত হয়ে গিয়ে নুয়েভা সোসিয়েদাদ দে ফুটবল (ফুটবলের নতুন সমাজ) নামে নতুন একটি ক্লাব গঠন করে। বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে একজন ছিলেন হুলিয়ান পালাকিওস, যিনি রিয়াল মাদ্রিদের প্রথম সভাপতির দায়িত্ব পালন করেছেন। এছাড়াও বিভক্ত হয়ে যাওয়া ব্যক্তিদের মধ্যে ছিলেন দুই ভাই হুয়ান পাদ্রোস এবং কার্লোস পাদ্রোস, যারা পরবর্তীতে রিয়াল মাদ্রিদের সভাপতিত্বের দায়িত্ব পালন করেছেন। ১৯০১ সালে, এই নতুন ক্লাবের নাম পরিবর্তন করে মাদ্রিদ ফুটবল ক্লাব রাখা হয়। পরবর্তীতে, ১৯০২ সালে পুনর্গঠনের পর স্কাই ফুটবল সংঘটি নাম পরিবর্তন করে নিউ ফুট-বল ক্লাব রাখে।[24][25][26] ১৯০৬ সালের ৬ই মার্চ তারিখে, হুয়ান পাদ্রোসের সভাপতিত্বে একটি নতুন বোর্ড নির্বাচিত হওয়ার পর, মাদ্রিদ ফুটবল ক্লাব আনুষ্ঠানিকভাবে প্রতিষ্ঠা লাভ করে।[3]",রিয়াল মাদ্রিদ ফুটবল ক্লাবটির সর্বপ্রথম সভাপতি কে ছিলেন ?,হুলিয়ান পালাকিওস,কার্লোস পাদ্রোস ছিলেন রিয়াল মাদ্রিদের প্রথম সভাপতি।,yes
