row_index,id,source_id,pattern,document,summary_evaluated,is_hallucinated,raw_response
0,16602::Intrinsic,16602,Intrinsic,আমি ১০ বছর যাবত চাকরি করি । আমার অনেক সমস্যা আছে । ১ . আমি সব সময় অজানা ভয়ে থাকি আমার কাছের মানুষ / পরিবারের মানুষ জন যদি কোন সড়ক দুঘটনায় মারা যায় ৷ ২ . আমার ৫ বছর যাবত একটা রিলেশন ছিল এখন নেই । মেয়েটা আমাকে অনকে ভালোবাসত আমিও ভাসতাম কিন্তু আমি প্রায় মেয়েটাকে এভয়েড করে চলতাম কিন্তু মেয়েটা আমাকে কখনও ছেড়ে যায় নি । এই বছরের প্রথমে আমার এভয়েড এর মাত্রা বেড়ে যাওয়ায় আমিও ওকে ফোন দেই নি ও আমাকে ফোন দেইনি । আমি এখনও তাকে নিয়ে ভাবি কিন্তু আমার ইগোর কারনে পারি না । আমি নিজেকে কস্ট দিয়ে অনকে ঘুম এর টেবলেট খেয়েছি,"সব সময় অজানা ভয়ে থাকি, বিশেষ করে পরিবারের কেউ দুর্ঘটনায় আহত হবে মনে হয়। ৬ বছরের সম্পর্ক এখন ভেঙে গেছে। এখনও তাকে নিয়ে ভাবি, কিন্তু অভিমান ও ইগোর কারণে যোগাযোগ করি না। নিজেকে কষ্ট দিয়ে নিয়মিত ঘুমের ট্যাবলেট খেয়েছি।",yes,yes
1,16602::Non-factual,16602,Non-factual,আমি ১০ বছর যাবত চাকরি করি । আমার অনেক সমস্যা আছে । ১ . আমি সব সময় অজানা ভয়ে থাকি আমার কাছের মানুষ / পরিবারের মানুষ জন যদি কোন সড়ক দুঘটনায় মারা যায় ৷ ২ . আমার ৫ বছর যাবত একটা রিলেশন ছিল এখন নেই । মেয়েটা আমাকে অনকে ভালোবাসত আমিও ভাসতাম কিন্তু আমি প্রায় মেয়েটাকে এভয়েড করে চলতাম কিন্তু মেয়েটা আমাকে কখনও ছেড়ে যায় নি । এই বছরের প্রথমে আমার এভয়েড এর মাত্রা বেড়ে যাওয়ায় আমিও ওকে ফোন দেই নি ও আমাকে ফোন দেইনি । আমি এখনও তাকে নিয়ে ভাবি কিন্তু আমার ইগোর কারনে পারি না । আমি নিজেকে কস্ট দিয়ে অনকে ঘুম এর টেবলেট খেয়েছি,সব সময় অজানা ভয়ে থাকি পরিবারের মানুষ জন যদি কোনো সড়ক দুর্ঘটনায় মারা যায়। ৬ বছরের রিলেশন এখন নেই। এখনও তাকে নিয়ে ভাবি কিন্তু ইগোর কারণে ফিরতে পারি না। নিজেকে কষ্ট দিয়ে ১২টা ঘুমের ট্যাবলেট খেয়েছি।,yes,yes
2,16602::Factual Contradiction,16602,Factual Contradiction,আমি ১০ বছর যাবত চাকরি করি । আমার অনেক সমস্যা আছে । ১ . আমি সব সময় অজানা ভয়ে থাকি আমার কাছের মানুষ / পরিবারের মানুষ জন যদি কোন সড়ক দুঘটনায় মারা যায় ৷ ২ . আমার ৫ বছর যাবত একটা রিলেশন ছিল এখন নেই । মেয়েটা আমাকে অনকে ভালোবাসত আমিও ভাসতাম কিন্তু আমি প্রায় মেয়েটাকে এভয়েড করে চলতাম কিন্তু মেয়েটা আমাকে কখনও ছেড়ে যায় নি । এই বছরের প্রথমে আমার এভয়েড এর মাত্রা বেড়ে যাওয়ায় আমিও ওকে ফোন দেই নি ও আমাকে ফোন দেইনি । আমি এখনও তাকে নিয়ে ভাবি কিন্তু আমার ইগোর কারনে পারি না । আমি নিজেকে কস্ট দিয়ে অনকে ঘুম এর টেবলেট খেয়েছি,"সব সময় অজানা ভয় নেই, বরং পরিবারের মানুষজন সড়ক দুর্ঘটনায় মারা যাবে এমন চিন্তা করেন না। ৫ বছরের রিলেশন এখনও আছে। তাকে নিয়ে আর ভাবেন না এবং ইগোর কারণে দূরে নেই। নিজেকে কষ্ট না দিয়ে ঘুমের ট্যাবলেট খাননি।",yes,yes
3,23988::Intrinsic,23988,Intrinsic,আমার একটি মেয়ের সাথে বিয়ে ঠিক হয়েছে । মেয়েটির একটা বিধর্মী ছেলের সাথে রিলেশন ছিলো । ছেলেটা ওর এক ক্লাস জুনিয়র । বিষয় টা সে আমার সাথে শেয়ার করেনি । আমি অন্য ভাবে জেনেছি । ছেলেটা ওকে বিয়ে করার জন্য চাপ দিচ্ছে । ওর পড়াশোনা শেষ হতে আরও আড়াই বছর লাগবে । বিয়ের পরেও আমাদের একসাথে থাকা হবে না । আমি বিষয় টা জানার পর থেকে তার উপর বিশ্বাস হারিয়ে ফেলেছি । তার যথেষ্ট ডেডিকেশন আছে আমার প্রতি । কিন্তু আমি বিষয় টা মেনে নিতে পারতেছি না । আমার কি করা উচিত ? ? ?,"মেয়েটির আগে এক বিধর্মী, এক ক্লাস জুনিয়র ছেলের সঙ্গে সম্পর্ক ছিল, যা সে গোপন রেখেছে এবং এখন সেই ছেলে বিয়ের জন্য চাপ দিচ্ছে। পড়াশোনা শেষ হতে আড়াই বছর বাকি, বিয়ের পরও একসাথে থাকা হবে না। বিষয়টি জানার পর বিশ্বাস নষ্ট হয়েছে, তাই বিয়ে করা উচিত কি না জানতে চাওয়া হয়েছে।",no,no
4,23988::Non-factual,23988,Non-factual,আমার একটি মেয়ের সাথে বিয়ে ঠিক হয়েছে । মেয়েটির একটা বিধর্মী ছেলের সাথে রিলেশন ছিলো । ছেলেটা ওর এক ক্লাস জুনিয়র । বিষয় টা সে আমার সাথে শেয়ার করেনি । আমি অন্য ভাবে জেনেছি । ছেলেটা ওকে বিয়ে করার জন্য চাপ দিচ্ছে । ওর পড়াশোনা শেষ হতে আরও আড়াই বছর লাগবে । বিয়ের পরেও আমাদের একসাথে থাকা হবে না । আমি বিষয় টা জানার পর থেকে তার উপর বিশ্বাস হারিয়ে ফেলেছি । তার যথেষ্ট ডেডিকেশন আছে আমার প্রতি । কিন্তু আমি বিষয় টা মেনে নিতে পারতেছি না । আমার কি করা উচিত ? ? ?,"মেয়েটির আগে এক বিধর্মী ছেলের সঙ্গে প্রায় দুই বছরের সম্পর্ক ছিল, যা সে গোপন রেখেছিল। ছেলেটি তাকে বিয়ের জন্য চাপ দিচ্ছে, আর পড়াশোনা শেষ হতে আরও আড়াই বছর বাকি। বিষয়টি জানার পর বিশ্বাস নষ্ট হয়েছে, তাই এখন বিয়ে করা উচিত কি না তা নিয়ে দ্বিধা।",no,no
5,23988::Factual Contradiction,23988,Factual Contradiction,আমার একটি মেয়ের সাথে বিয়ে ঠিক হয়েছে । মেয়েটির একটা বিধর্মী ছেলের সাথে রিলেশন ছিলো । ছেলেটা ওর এক ক্লাস জুনিয়র । বিষয় টা সে আমার সাথে শেয়ার করেনি । আমি অন্য ভাবে জেনেছি । ছেলেটা ওকে বিয়ে করার জন্য চাপ দিচ্ছে । ওর পড়াশোনা শেষ হতে আরও আড়াই বছর লাগবে । বিয়ের পরেও আমাদের একসাথে থাকা হবে না । আমি বিষয় টা জানার পর থেকে তার উপর বিশ্বাস হারিয়ে ফেলেছি । তার যথেষ্ট ডেডিকেশন আছে আমার প্রতি । কিন্তু আমি বিষয় টা মেনে নিতে পারতেছি না । আমার কি করা উচিত ? ? ?,"প্রাসঙ্গিক সম্পর্কের প্রশ্ন। মেয়েটি আগে কোনো রিলেশনে ছিল না এবং বিষয়টি শুরু থেকেই জানিয়েছে। এখন ছেলেটা বিয়ের জন্য কোনো চাপ দিচ্ছে না। এসব জানার পরও তার প্রতি বিশ্বাস অটুট আছে, তবে কী করা উচিত জানতে চান।",yes,yes
6,18688::Intrinsic,18688,Intrinsic,"আমার বাসায় মা - ভাই - এবং আমি কোভিড পজেটিভ ছিলাম । মা প্রচন্ড লাঙ্ক ইনফেকশন নিয়ে হাসপাতালে ছিলো । বর্তমানে মা - বাবা - ভাই সবাই করনা নেগেটিভ হয়েছে । প্রথম টেস্ট পজেটিভ আসার পর থেকে আজ ১৬ দিন চলছে । ২য় বার টেস্ট কত দিন পর পরলে ভালো হয় ? আর আমার উইকনেস কাটে নাই এখনো , আর প্রচন্ড হাঁটু , পায়ে , মাসেলে ব্যাথা । কি করতে পারি ?","করোনার প্রথম টেস্ট পজিটিভ আসার ১৪ দিন পর ২য় টেস্ট করা হয়েছে, কিন্তু এখনো শরীর খুব দুর্বল। সঙ্গে জ্বর, হাঁটু, পা ও সারা শরীরের মাসেলে তীব্র ব্যথা আছে। এ অবস্থায় কী করণীয়?",yes,yes
7,18688::Non-factual,18688,Non-factual,"আমার বাসায় মা - ভাই - এবং আমি কোভিড পজেটিভ ছিলাম । মা প্রচন্ড লাঙ্ক ইনফেকশন নিয়ে হাসপাতালে ছিলো । বর্তমানে মা - বাবা - ভাই সবাই করনা নেগেটিভ হয়েছে । প্রথম টেস্ট পজেটিভ আসার পর থেকে আজ ১৬ দিন চলছে । ২য় বার টেস্ট কত দিন পর পরলে ভালো হয় ? আর আমার উইকনেস কাটে নাই এখনো , আর প্রচন্ড হাঁটু , পায়ে , মাসেলে ব্যাথা । কি করতে পারি ?","করোনার ১ম টেস্টের ১০ দিন পর ২য় টেস্ট করা ভালো কি না জানতে চাওয়া হয়েছে। এখনো শরীর খুব দুর্বল, সঙ্গে হাঁটু, পা ও মাসেলে ব্যথা আছে, আর আজ ১৮ দিন চলছে। কি করণীয়?",no,no
8,18688::Factual Contradiction,18688,Factual Contradiction,"আমার বাসায় মা - ভাই - এবং আমি কোভিড পজেটিভ ছিলাম । মা প্রচন্ড লাঙ্ক ইনফেকশন নিয়ে হাসপাতালে ছিলো । বর্তমানে মা - বাবা - ভাই সবাই করনা নেগেটিভ হয়েছে । প্রথম টেস্ট পজেটিভ আসার পর থেকে আজ ১৬ দিন চলছে । ২য় বার টেস্ট কত দিন পর পরলে ভালো হয় ? আর আমার উইকনেস কাটে নাই এখনো , আর প্রচন্ড হাঁটু , পায়ে , মাসেলে ব্যাথা । কি করতে পারি ?","করোনার ১ম টেস্টের পরেই ২য় টেস্ট দ্রুত করতে হবে কি না জানতে চেয়েছেন। বর্তমানে শরীরের দুর্বলতা কেটে গেছে, তবে হাঁটু, পা ও মাসেলে কোনো ব্যথা নেই। কি করনীয়?",yes,yes
9,7766::Intrinsic,7766,Intrinsic,"আমার ১৯সপ্তাহ প্রেগন্যন্সি চলছে , এই মুহূর্তে আমার ঔষুধ চার্ট শেয়ার করছি , এইটা কি একইভাবে চালিয়ে যাব , নাকি কোন পরিবর্তনের দরকার , জানালে উপকার হয় , প্লিজ . . . মাক্সপ্রো ক্যপ - ১ + ০ + ১ থাইরিন ৫০ - ১ + ০ + ০ প্রিকেয়ার - ১ + ০ + ১ ফলিক জেড - ১ + ০ + ১ কারভা৭৫ - ০ + ১ + ০ আইপ্যাক প্লাস - ০ + ০ + ১ ক্যালসিন ডি - ০ + ০ + ১ . . . যদি কিছু পাল্টাতে হয় , জানাবেন প্লিজ . . . ধন্যবাদ . . .","২২ সপ্তাহের প্রেগন্যান্সি চলছে। ওষুধ চার্টে মাক্সপ্রো, থাইরিন ৭৫, প্রিকেয়ার, ফলিক জেড, কারভা৭৫, আইপ্যাক প্লাস ও ক্যালসিন ডি চলছে। কিছু ওষুধের ডোজ সকালে ও রাতে বদলে দেওয়া দরকার কি না জানতে চাওয়া হয়েছে।",yes,yes
